base,compare,unigrams,bigrams,label
plg-302.txt,org-328.txt,0.2769,0.025,original
plg-302.txt,org-371.txt,0.2733,0.0235,original
plg-302.txt,org-318.txt,0.2732,0.0239,original
plg-302.txt,org-389.txt,0.2658,0.051,original
plg-302.txt,org-360.txt,0.2654,0.0486,original
plg-302.txt,org-302.txt,0.2603,0.0372,original
plg-302.txt,org-385.txt,0.2595,0.037,original
plg-302.txt,org-331.txt,0.2445,0.0336,original
plg-302.txt,org-373.txt,0.2354,0.0474,original
plg-302.txt,org-337.txt,0.2239,0.0505,original
plg-302.txt,org-388.txt,0.2217,0.0037,original
plg-302.txt,org-357.txt,0.2135,0.0251,original
plg-302.txt,org-364.txt,0.2135,0.0251,original
plg-302.txt,org-386.txt,0.206,0.0043,original
plg-302.txt,org-309.txt,0.2017,0.0125,original
plg-302.txt,org-312.txt,0.1978,0.032,original
plg-302.txt,org-308.txt,0.1905,0.0094,original
plg-302.txt,org-418.txt,0.1884,0.0113,original
plg-302.txt,org-313.txt,0.1869,0.0159,original
plg-302.txt,org-300.txt,0.1835,0.0298,original
plg-302.txt,org-351.txt,0.1804,0.0245,original
plg-302.txt,org-410.txt,0.1804,0.0245,original
plg-302.txt,org-327.txt,0.1727,0.0169,original
plg-302.txt,org-416.txt,0.1696,0,original
plg-302.txt,org-336.txt,0.1677,0.0329,original
plg-302.txt,org-366.txt,0.1663,0.0056,original
plg-302.txt,org-359.txt,0.1637,0.008,original
plg-302.txt,org-347.txt,0.1618,0.0153,original
plg-302.txt,org-350.txt,0.1618,0.0153,original
plg-302.txt,org-304.txt,0.1615,0.0136,original
plg-302.txt,org-390.txt,0.1587,0.0081,original
plg-302.txt,org-387.txt,0.1566,0.0267,original
plg-302.txt,org-352.txt,0.1557,0.0072,original
plg-302.txt,org-400.txt,0.1545,0.0202,original
plg-302.txt,org-401.txt,0.1527,0,original
plg-302.txt,org-316.txt,0.1526,0.0184,original
plg-302.txt,org-305.txt,0.1522,0.005,original
plg-302.txt,org-398.txt,0.1521,0.0084,original
plg-302.txt,org-345.txt,0.1425,0.0304,original
plg-302.txt,org-344.txt,0.1391,0.0186,original
plg-302.txt,org-417.txt,0.1371,0.0101,original
plg-302.txt,org-383.txt,0.1353,0.0231,original
plg-302.txt,org-346.txt,0.1348,0.0081,original
plg-302.txt,org-412.txt,0.1327,0.0239,original
plg-302.txt,org-402.txt,0.1323,0.007,original
plg-302.txt,org-348.txt,0.1281,0.0249,original
plg-302.txt,org-403.txt,0.1281,0.0081,original
plg-302.txt,org-381.txt,0.1194,0.0084,original
plg-302.txt,org-407.txt,0.1193,0.02,original
plg-302.txt,org-396.txt,0.1162,0.0196,original
plg-302.txt,org-333.txt,0.115,0.0153,original
plg-302.txt,org-330.txt,0.1142,0.0078,original
plg-302.txt,org-339.txt,0.1093,0.009,original
plg-302.txt,org-397.txt,0.0973,0.0054,original
plg-302.txt,org-413.txt,0.0966,0.0031,original
plg-302.txt,org-399.txt,0.0962,0.0043,original
plg-302.txt,org-322.txt,0.0938,0,original
plg-302.txt,org-326.txt,0.0923,0.0221,original
plg-302.txt,org-356.txt,0.0905,0.0126,original
plg-302.txt,org-368.txt,0.0897,0,original
plg-302.txt,org-321.txt,0.0868,0.0048,original
plg-302.txt,org-394.txt,0.0836,0.012,original
plg-302.txt,org-362.txt,0.0833,0,original
plg-302.txt,org-391.txt,0.0833,0,original
plg-302.txt,org-349.txt,0.0832,0.0247,original
plg-302.txt,org-358.txt,0.0811,0.0067,original
plg-302.txt,org-323.txt,0.0808,0.0173,original
plg-302.txt,org-395.txt,0.0803,0.0106,original
plg-302.txt,org-338.txt,0.0802,0.0034,original
plg-302.txt,org-361.txt,0.079,0,original
plg-302.txt,org-411.txt,0.0788,0.0181,original
plg-302.txt,org-365.txt,0.0773,0.0184,original
plg-302.txt,org-375.txt,0.0771,0.0183,original
plg-302.txt,org-393.txt,0.0722,0.0117,original
plg-302.txt,org-369.txt,0.0626,0,original
plg-302.txt,org-324.txt,0.059,0,original
plg-302.txt,org-355.txt,0.0575,0.0076,original
plg-302.txt,org-374.txt,0.0568,0.0143,original
plg-302.txt,org-409.txt,0.0568,0.0085,original
plg-302.txt,org-363.txt,0.0555,0,original
plg-302.txt,org-301.txt,0.0543,0,original
plg-302.txt,org-376.txt,0.0543,0,original
plg-302.txt,org-414.txt,0.0519,0,original
plg-302.txt,org-419.txt,0.0506,0.0057,original
plg-302.txt,org-317.txt,0.0499,0,original
plg-302.txt,org-379.txt,0.0481,0.0127,original
plg-302.txt,org-382.txt,0.0469,0,original
plg-302.txt,org-405.txt,0.0423,0,original
plg-302.txt,org-329.txt,0.0369,0,original
plg-302.txt,org-384.txt,0.0353,0.0084,original
plg-302.txt,org-406.txt,0.0341,0,original
plg-302.txt,org-325.txt,0.0268,0,original
plg-302.txt,org-404.txt,0.0256,0,original
plg-302.txt,org-392.txt,0.0242,0,original
plg-302.txt,org-378.txt,0.0065,0,original
plg-320.txt,org-329.txt,0.8282,0.6764,copy
plg-320.txt,org-348.txt,0.1879,0,original
plg-320.txt,org-406.txt,0.1635,0.0182,original
plg-320.txt,org-325.txt,0.1372,0,original
plg-320.txt,org-305.txt,0.1352,0,original
plg-320.txt,org-366.txt,0.1349,0,original
plg-320.txt,org-394.txt,0.1318,0.0144,original
plg-320.txt,org-409.txt,0.1195,0,original
plg-320.txt,org-301.txt,0.1189,0,original
plg-320.txt,org-368.txt,0.1105,0,original
plg-320.txt,org-359.txt,0.1075,0,original
plg-320.txt,org-415.txt,0.1051,0,original
plg-320.txt,org-328.txt,0.1042,0,original
plg-320.txt,org-401.txt,0.103,0.0083,original
plg-320.txt,org-402.txt,0.1027,0,original
plg-320.txt,org-312.txt,0.1021,0,original
plg-320.txt,org-407.txt,0.0999,0,original
plg-320.txt,org-352.txt,0.0988,0,original
plg-320.txt,org-300.txt,0.095,0,original
plg-320.txt,org-378.txt,0.094,0,original
plg-320.txt,org-419.txt,0.0897,0,original
plg-320.txt,org-354.txt,0.0886,0,original
plg-320.txt,org-353.txt,0.0875,0,original
plg-320.txt,org-386.txt,0.0874,0,original
plg-320.txt,org-405.txt,0.0868,0,original
plg-320.txt,org-315.txt,0.0861,0,original
plg-320.txt,org-313.txt,0.0818,0.0047,original
plg-320.txt,org-362.txt,0.0813,0,original
plg-320.txt,org-391.txt,0.0813,0,original
plg-320.txt,org-367.txt,0.0748,0,original
plg-320.txt,org-418.txt,0.0748,0,original
plg-320.txt,org-319.txt,0.072,0,original
plg-320.txt,org-372.txt,0.0719,0,original
plg-320.txt,org-314.txt,0.0701,0,original
plg-320.txt,org-335.txt,0.0696,0,original
plg-320.txt,org-371.txt,0.0695,0,original
plg-320.txt,org-392.txt,0.0694,0.0046,original
plg-320.txt,org-346.txt,0.0686,0,original
plg-320.txt,org-306.txt,0.0671,0,original
plg-320.txt,org-408.txt,0.0669,0,original
plg-320.txt,org-414.txt,0.0669,0,original
plg-320.txt,org-363.txt,0.0663,0,original
plg-320.txt,org-332.txt,0.0654,0,original
plg-320.txt,org-387.txt,0.0631,0,original
plg-320.txt,org-303.txt,0.06,0,original
plg-320.txt,org-381.txt,0.0593,0,original
plg-320.txt,org-327.txt,0.0581,0,original
plg-320.txt,org-320.txt,0.0578,0,original
plg-320.txt,org-383.txt,0.0578,0,original
plg-320.txt,org-380.txt,0.0545,0,original
plg-320.txt,org-330.txt,0.0537,0,original
plg-320.txt,org-338.txt,0.0535,0,original
plg-320.txt,org-333.txt,0.0521,0,original
plg-320.txt,org-377.txt,0.052,0,original
plg-320.txt,org-349.txt,0.0519,0,original
plg-320.txt,org-390.txt,0.0506,0,original
plg-320.txt,org-347.txt,0.0505,0,original
plg-320.txt,org-350.txt,0.0505,0,original
plg-320.txt,org-322.txt,0.0502,0,original
plg-320.txt,org-389.txt,0.0496,0,original
plg-320.txt,org-417.txt,0.0496,0,original
plg-320.txt,org-396.txt,0.0495,0,original
plg-320.txt,org-360.txt,0.0489,0,original
plg-320.txt,org-345.txt,0.0486,0.0039,original
plg-320.txt,org-404.txt,0.0478,0,original
plg-320.txt,org-344.txt,0.046,0,original
plg-320.txt,org-307.txt,0.0459,0,original
plg-320.txt,org-318.txt,0.0458,0,original
plg-320.txt,org-384.txt,0.0453,0,original
plg-320.txt,org-370.txt,0.0446,0,original
plg-320.txt,org-398.txt,0.0432,0,original
plg-320.txt,org-358.txt,0.043,0,original
plg-320.txt,org-416.txt,0.0417,0,original
plg-320.txt,org-331.txt,0.0415,0,original
plg-320.txt,org-334.txt,0.0397,0,original
plg-320.txt,org-336.txt,0.0387,0,original
plg-320.txt,org-403.txt,0.0382,0,original
plg-320.txt,org-393.txt,0.0369,0,original
plg-320.txt,org-308.txt,0.0357,0,original
plg-320.txt,org-375.txt,0.0345,0,original
plg-320.txt,org-321.txt,0.0337,0,original
plg-320.txt,org-357.txt,0.0315,0,original
plg-320.txt,org-364.txt,0.0315,0,original
plg-320.txt,org-376.txt,0.031,0,original
plg-320.txt,org-369.txt,0.0295,0,original
plg-320.txt,org-316.txt,0.029,0,original
plg-320.txt,org-374.txt,0.0285,0,original
plg-320.txt,org-399.txt,0.0281,0,original
plg-320.txt,org-373.txt,0.028,0,original
plg-320.txt,org-361.txt,0.0269,0,original
plg-320.txt,org-355.txt,0.0261,0,original
plg-320.txt,org-382.txt,0.0252,0,original
plg-320.txt,org-356.txt,0.0245,0,original
plg-320.txt,org-304.txt,0.0223,0,original
plg-320.txt,org-337.txt,0.0223,0,original
plg-320.txt,org-397.txt,0.022,0,original
plg-320.txt,org-400.txt,0.0215,0,original
plg-320.txt,org-388.txt,0.0213,0,original
plg-320.txt,org-326.txt,0.021,0,original
plg-320.txt,org-339.txt,0.0207,0,original
plg-320.txt,org-395.txt,0.0206,0.0042,original
plg-320.txt,org-413.txt,0.02,0,original
plg-320.txt,org-302.txt,0.0197,0,original
plg-320.txt,org-385.txt,0.0196,0,original
plg-320.txt,org-324.txt,0.0188,0,original
plg-320.txt,org-351.txt,0.0163,0,original
plg-320.txt,org-410.txt,0.0163,0,original
plg-320.txt,org-323.txt,0.016,0,original
plg-320.txt,org-309.txt,0.0148,0,original
plg-320.txt,org-379.txt,0.0146,0,original
plg-320.txt,org-412.txt,0.0143,0,original
plg-320.txt,org-317.txt,0.0064,0,original
plg-320.txt,org-365.txt,0.0048,0,original
plg-320.txt,org-411.txt,0.0032,0,original
plg-321.txt,org-325.txt,0.8605,0.5776,copy
plg-321.txt,org-322.txt,0.1848,0.0056,original
plg-321.txt,org-328.txt,0.1558,0.0063,original
plg-321.txt,org-329.txt,0.1519,0,original
plg-321.txt,org-305.txt,0.1495,0.0116,original
plg-321.txt,org-346.txt,0.1183,0.0062,original
plg-321.txt,org-362.txt,0.1111,0.0153,original
plg-321.txt,org-391.txt,0.1111,0.0153,original
plg-321.txt,org-348.txt,0.1057,0.0024,original
plg-321.txt,org-387.txt,0.1053,0,original
plg-321.txt,org-405.txt,0.0992,0.003,original
plg-321.txt,org-383.txt,0.0992,0,original
plg-321.txt,org-352.txt,0.0977,0.0028,original
plg-321.txt,org-300.txt,0.0933,0.0028,original
plg-321.txt,org-394.txt,0.0926,0,original
plg-321.txt,org-344.txt,0.0917,0,original
plg-321.txt,org-347.txt,0.0909,0,original
plg-321.txt,org-350.txt,0.0909,0,original
plg-321.txt,org-406.txt,0.0885,0,original
plg-321.txt,org-321.txt,0.0884,0.0037,original
plg-321.txt,org-354.txt,0.0883,0,original
plg-321.txt,org-357.txt,0.0881,0,original
plg-321.txt,org-364.txt,0.0881,0,original
plg-321.txt,org-313.txt,0.0869,0.0123,original
plg-321.txt,org-355.txt,0.0865,0.0058,original
plg-321.txt,org-338.txt,0.085,0.0027,original
plg-321.txt,org-315.txt,0.0814,0,original
plg-321.txt,org-386.txt,0.0806,0.0101,original
plg-321.txt,org-359.txt,0.0799,0,original
plg-321.txt,org-414.txt,0.0796,0,original
plg-321.txt,org-418.txt,0.0796,0,original
plg-321.txt,org-409.txt,0.0794,0,original
plg-321.txt,org-326.txt,0.0791,0.0042,original
plg-321.txt,org-402.txt,0.0788,0,original
plg-321.txt,org-369.txt,0.0784,0,original
plg-321.txt,org-301.txt,0.0771,0,original
plg-321.txt,org-333.txt,0.0751,0.0029,original
plg-321.txt,org-312.txt,0.0748,0.0066,original
plg-321.txt,org-378.txt,0.074,0,original
plg-321.txt,org-366.txt,0.0739,0,original
plg-321.txt,org-397.txt,0.073,0,original
plg-321.txt,org-319.txt,0.0713,0.003,original
plg-321.txt,org-358.txt,0.0691,0,original
plg-321.txt,org-398.txt,0.0683,0.0065,original
plg-321.txt,org-395.txt,0.068,0,original
plg-321.txt,org-316.txt,0.0679,0,original
plg-321.txt,org-396.txt,0.0671,0.003,original
plg-321.txt,org-372.txt,0.0658,0,original
plg-321.txt,org-363.txt,0.0645,0,original
plg-321.txt,org-407.txt,0.064,0,original
plg-321.txt,org-368.txt,0.0635,0,original
plg-321.txt,org-335.txt,0.0633,0.0116,original
plg-321.txt,org-390.txt,0.0627,0.0031,original
plg-321.txt,org-419.txt,0.0617,0,original
plg-321.txt,org-367.txt,0.0595,0,original
plg-321.txt,org-408.txt,0.0578,0.0033,original
plg-321.txt,org-318.txt,0.0578,0,original
plg-321.txt,org-337.txt,0.0578,0,original
plg-321.txt,org-392.txt,0.0577,0,original
plg-321.txt,org-334.txt,0.0571,0,original
plg-321.txt,org-384.txt,0.0559,0,original
plg-321.txt,org-389.txt,0.0552,0,original
plg-321.txt,org-381.txt,0.0551,0,original
plg-321.txt,org-304.txt,0.0545,0,original
plg-321.txt,org-320.txt,0.0535,0.0076,original
plg-321.txt,org-404.txt,0.0528,0.0066,original
plg-321.txt,org-417.txt,0.0523,0,original
plg-321.txt,org-330.txt,0.052,0,original
plg-321.txt,org-308.txt,0.0506,0,original
plg-321.txt,org-349.txt,0.0505,0.0133,original
plg-321.txt,org-388.txt,0.049,0,original
plg-321.txt,org-416.txt,0.049,0,original
plg-321.txt,org-327.txt,0.0489,0,original
plg-321.txt,org-400.txt,0.0486,0,original
plg-321.txt,org-401.txt,0.0478,0,original
plg-321.txt,org-403.txt,0.0466,0.0094,original
plg-321.txt,org-345.txt,0.0461,0,original
plg-321.txt,org-361.txt,0.0448,0,original
plg-321.txt,org-306.txt,0.0435,0,original
plg-321.txt,org-302.txt,0.0419,0,original
plg-321.txt,org-385.txt,0.0418,0,original
plg-321.txt,org-412.txt,0.0417,0,original
plg-321.txt,org-314.txt,0.0414,0,original
plg-321.txt,org-365.txt,0.0411,0,original
plg-321.txt,org-332.txt,0.0404,0,original
plg-321.txt,org-351.txt,0.0398,0,original
plg-321.txt,org-410.txt,0.0398,0,original
plg-321.txt,org-353.txt,0.0397,0,original
plg-321.txt,org-393.txt,0.0394,0.003,original
plg-321.txt,org-415.txt,0.0389,0,original
plg-321.txt,org-413.txt,0.0374,0,original
